Бренд;Артикул;Остаток;Цена;Картинки;Оригиналы
# Формат:
# - Оригиналы: "Бренд:Артикул, Бренд2:Артикул2" (или через | вместо :)
# - Бренд/Артикул: это сам АНАЛОГ
# - Остаток/Цена/Картинки: метаданные для пары (оригинал -> аналог)
#
# Один аналог может относиться к нескольким оригиналам:
Yamaha;123;5;1290;https://o-ring.su/wa-data/public/shop/products/70/98/29870/images/7699/7699.518x0@2x.jpg,https://gidropraktika.ru/wp-content/uploads/2025/03/gost_9833-73_uplotnitelnye-kolca_rezinovye.png;Yamaha:1HP-F582T-00-00, Yamaha:BB5-F514A-00-00
#
# Несколько аналогов для одного оригинала:
Yamaha;1123;7;990;;Yamaha:1HP-F582T-00-00
Yamaha;777;2;1550;https://example.com/a.jpg;Yamaha:1HP-F582T-00-00
Yamaha;888;0;0;;Yamaha:1HP-F582T-00-00
